theme_name,set_name,prod_long_desc,list_price,piece_count,ages,review_difficulty
Marvel Super Heroes,Hulk vs. Red Hulk,"Pitch Team Hulk against Team Red Hulk in this sturdy LEGO® Marvel Super Heroes set. Fit the characters onto their tough vehicles and crash them into each other to send the big figures flying into battle. For even more fun battle action, fire the vehicle-mounted twin stud shooters and 6-stud shooter. Includes 2 minifigures and 2 big figures.
Build a fun and power-packed showdown between Team Hulk and Team Red Hulk, with giant muscle cars that launch the Hulks into action when they smash into each other!
Vehicles feature jumping Hulk functions, big rolling wheels, stud-shooting blasters, and more!
Includes Hulk and Red Hulk big figures, and She-Hulk and Red She-Hulk minifigures
LEGO Marvel Super Heroes building toys are compatible with all LEGO construction sets for creative building
Team Hulk vehicle is over 5” high, 7” long, and 4” wide. Team Red Hulk vehicle is over 2” high, 7” long, and 5” wide
375 pieces – For boys and girls between the ages of 7 and 14 years old",59.99,375.0,7-14,Easy
Marvel Super Heroes,Thor vs. Hulk: Arena Clash,"Role-play an arena duel between Thor and Hulk and then team up with these two old friends to topple Grandmaster. This awesome LEGO® Marvel Super Heroes Thor vs. Hulk: Arena Clash set features an arena with a sliding gate, secret weapons rack, 2 toppling pillars, smash-function wall and an opening prison cell. Use Thor’s super jumper to knock Grandmaster off his throne and Loki off his seat. Includes 4 minifigures plus a Hulk big figure with assorted weapons and accessories to intensify the action play.
Build the Grandmaster’s arena and stage an epic super hero showdown!
As featured in the Thor: Ragnarok movie
Includes Thor, Loki, Grandmaster and Sakaarian Guard minifigures, plus a Hulk big figure
LEGO Marvel Super Heroes building toys are compatible with all LEGO construction sets for creative building
The arena is over 7” high, 15” wide and 2” deep when opened
492 pieces – For LEGO fans between the ages of 7 and 14 years old",59.99,492.0,7-14,Average
Marvel Super Heroes,The Ultimate Battle for Asgard,"Fly the Commodore spaceship and team up with Thor, Bruce Banner and Valkyrie to take on Hela, her Berserkers and the Fenris wolf in this exciting LEGO® Marvel Super Heroes The Ultimate Battle for Asgard set. The Commodore has 2 dual stud shooters and a minifigure-drop function, while the buildable Fenris wolf figure features posable joints for different battle poses. Includes 6 minifigures with assorted weapons such as Thor and Hela’s firing Power Blasts to intensify the role-play action.
Build the Commodore spaceship and fight Hela & Fenris for the future of Asgard!
As featured in the Thor: Ragnarok movie
Includes Thor, Bruce Banner, Valkyrie, Hela & 2 Berserker minifigures, plus a buildable Fenris wolf figure
LEGO Marvel Super Heroes building toys are compatible with all LEGO construction sets for creative building
The Commodore is over 1” high, 8” long and 7” wide. Fenris is 3” high, 6” long and 2” wide
400 pieces – For LEGO fans between the ages of 7 and 14 years old",49.99,400.0,7-14,Easy
Disney™,Ariel's Royal Celebration Boat,"LEGO® l Disney Ariel’s Royal Celebration Boat has everything you need to play out a happy ending for Disney’s The Little Mermaid’s Ariel and Prince Eric. Dance on the revolving dancefloor under the gazebo, spin Sebastian’s starfish decks, discover secret treasure and launch the colored firework bricks. Get creative using the modular design of this great children's toy to easily move and swap sections within the model, or integrate the gazebo with other compatible LEGO l Disney toys to build your own dream creations. Includes 2 mini-doll figures plus Sebastian and Max figures.
Includes 2 mini-doll figures: Prince Eric and Ariel with her dress and white fabric cape, plus Sebastian the crab and Max the dog figures.
Ariel’s Royal Celebration Boat features a gazebo with revolving dancefloor, ship’s wheel, vanity desk and firework launcher, plus a dock and Sebastian's island with turning starfish decks.
Accessory elements include a cake, glasses, crown, treasure chest, jewel, telescope, Ursula's contract tile, trident, hair bow, bone, firework pieces and a perfume bottle.
Customize this great children's toy by easily swapping and rearranging internal features such as the vanity, cake table and drinks table.
Move and rearrange the gazebo and dock to customize the boat, or combine, swap and mix this model with other compatible LEGO® l Disney toys to build your own dream creations.
Recreate the final wedding scenes from Disney's The Little Mermaid on this ornate boat full of features and secret places.
Help Ariel get ready for new adventures at the vanity desk, then put on her white wedding cape.
Spin Sebastian’s starfish and help Eric and Ariel dance on the revolving dancefloor, then launch the colorful firework pieces as the celebrations continue!
Suitable for ages 6-12.
Ariel’s Royal Celebration Boat measures over 6” (16cm) high, 9” (23cm) long and 4” (11cm) wide.
Sebastian's island measures over 1” (4cm) high, 1” (4cm) wide and 1” (4cm) deep.",49.99,380.0,5-12,Average
Marvel Super Heroes,Corvus Glaive Thresher Attack,"Stage an awesome battle at the Wakandan wall with Vision, Shuri and Black Panther against Corvus Glaive and an Outrider with this LEGO® Marvel Super Heroes 76103 Corvus Glaive Thresher Attack set. The wall features a lever-operated opening gate, tower with rotating, dual stud-shooting turrets, hidden disc shooter, Wakandan lab with flip function and the Infinity Stone element. The bad guys are attacking with a Thresher launcher—hit the right spot on the wall with the Thresher to activate the lab’s flip function. This super hero toy also includes 5 minifigures.
Includes 5 minifigures: Vision, Shuri, Black Panther, Corvus Glaive and an Outrider.
Wakandan wall features a lever-operated opening gate, tower with 2 rotating, dual stud-shooting turrets, hidden disc shooter, hinged wall section, Wakandan lab with minifigure seat, desk and 2 computer screen elements, flip function and the Infinity Stone element.
Also includes a Thresher and Thresher launcher with trigger and jungle camouflage elements.
Aim the Thresher at the wall to activate the lab's flip function.
Weapons include Shuri’s 2 gauntlets and Corvus Glaive’s staff.
The new-for-March-2018 Outrider minifigure has 6 arms.
Attach multiple sets to each other to expand the Wakanda wall.
Recreate thrilling scenes from the Marvel Super Heroes Avengers: Infinity War movie.
Wakandan wall measures over 7” (20cm) high, 9” (25cm) wide and 3” (9cm) deep.
Thresher launcher measures over 1” (5cm) high, 3” (8cm) wide and 4” (12cm) deep.
Thresher measures over 2” (7cm) high, 2” (7cm) long and 1” (4cm) wide.",39.99,416.0,7-14,Average
Disney™,Sleeping Beauty's Fairytale Castle,"LEGO® l Disney Sleeping Beauty’s Fairytale Castle is easy to build and perfect for playing out favorite moments from Disney’s Sleeping Beauty. There’s a bedroom, spinning wheel, vanity and a special birthday cake. Maleficent’s lair adds drama and excitement to the role-play action. Get creative using the modular design of this fun toy to easily move and swap sections within the model, or rearrange the rooms of the castle and integrate them with other compatible LEGO l Disney toys to build your own dream creations. Includes 2 mini-doll figures plus Merryweather and bunny figures.
Includes Aurora and Maleficent mini-doll figures, plus a good fairy and a bunny figure.
Features a modular Fairytale Castle with a balcony, vanity and a bed with hidden storybook tile, plus Maleficent’s lair with throne.
Accessory elements include a magic wand, crown, spinning wheel, hair bow, flowers, cake, mixing bowl, scissors, hairbrush, perfume bottle, basket, carrot, cherries and Maleficent's staff.
Customize the set by easily swapping and rearranging internal features such as the spinning wheel, vanity and cake table.
Move and rearrange the rooms and Maleficent’s lair to create a new castle every time, or combine, swap and mix this model with other compatible LEGO® l Disney toys to build your own dream creations.
Recreate favorite moments from Disney's Sleeping Beauty with iconic details such as the spinning wheel, giant cake and birthday dress decoration.
Create your own stories about life in the castle with this fun toy, and discover a secret storybook tile under Aurora’s bed.
Suitable for ages 6-12.
Sleeping Beauty’s Fairytale Castle measures over 11” (29cm) high, 4” (12cm) wide and 2” (6cm) deep.
Maleficent’s lair measures over 4” (11cm) high, 2” (6cm) wide and 2” (6cm) deep.",39.99,322.0,5-12,Easy
Disney™,Cinderella's Enchanted Evening,"Reenact scenes from the iconic Disney movie, Cinderella, with this easy-to-build model. Play with Cinderella in her house with kitchen and upstairs sleeping area. Then change her into her ball gown and go to the ball in the carriage—and take off the roof for easy play inside with 2 seats for Cinderella and her Fairy Godmother. Includes 2 mini-doll figures, plus 2 figures: a horse and a mouse.
Includes 2 mini-doll figures from Disney’s Cinderella: Cinderella with switchable skirts and the Fairy Godmother, plus 2 animal figures: a horse and a mouse. • Features Cinderella’s Carriage, Cinderella’s house with 2 stories, and a revolving stand for her ball gown. • Cinderella’s Carriage sits 2 mini-doll figures and features a removable roof for easy play inside, opening door and an opening chest. • Cinderella’s house features an opening door and windows, downstairs kitchen area with sink and table, and a sleeping area upstairs. • Accessory elements include an invitation, 2 keys, magic wand, broom, hairbrush, scissors, plate with food and a piece of cheese. • Play and sing all day with Cinderella and her little mouse friend, as they do their chores around the house. • Help the Fairy Godmother transform Cinderella’s rags to a ball gown and show her around her amazing horse-drawn carriage. • Play out your favorite scenes from the movie or create new stories of your own with these much-loved characters. • Cinderella’s carriage measures over 4” (11cm) high, 9” (24cm) long and 2” (7cm) wide. • Cinderella’s house measures over 5” (14 cm) high, 4” (11cm) wide and 1” (5cm) deep.",39.99,350.0,5-12,Average
Disney™,Moana’s Ocean Voyage,"Discover the vibrant world of Disney’s Moana and join her on her epic adventure to bring back the heart of Te Fiti and restore harmony. This beautiful sailboat with opening storage under the deck, and island with transformation function, are perfect for recreating iconic scenes from the movie or creating new stories by the sea. Features a Moana mini-doll, Maui big figure, Heihei and two Kakamora.
Build Disney Princess Moana’s Ocean Voyage canoe with sail, opening deck, and a transforming Island of Te Fiti!
Featured in the award-winning Disney movie: Moana
Includes Moana mini-doll figure, Maui big figure, HeiHei the rooster, two buildable Kakamora pirates, plus a map, a catapult for the Kakamora, and the Heart of Te Fiti
LEGO Disney Princess building toys are compatible with all LEGO construction sets for creative building
Moana's boat measures over 6” high, 5” long and 5” wide, Island of Te Fiti measures over 4” high, 6” long and 1” deep
307 pieces – For boys and girls between the ages of 6 and 12 years old",39.99,307.0,5-12,Easy
Star Wars™,Moloch's Landspeeder™,"Recreate action-filled scenes from the Han Solo movie with this LEGO® Star Wars Moloch’s Landspeeder set. The infamous gang leader’s vehicle features an open minifigure cockpit, storage hold at the rear and hidden wheels for a cool hover effect. This Star Wars toy also has a 6-stud rapid shooter for intense action play, and an opening cage to hold the 2 Corellian Hound figures to add an extra dimension of battling fun for any LEGO Star Wars fan!
Includes Moloch and Rebolt minifigures, plus 2 Corellian Hound figures.
Features an open minifigure cockpit, opening cage for the hounds, rear storage hold, multi-stud shooter and hidden wheels for a hover effect.
Also includes Moloch’s blaster pistol and Rebolt's whip.
Play out epic Han Solo movie chase scenes with 75209 Han Solo's Landspeeder!
This LEGO® Star Wars toy is suitable for ages 8-12.
Measures over 2” (6cm) high, 6” (16cm) long and 4” (11cm) wide.",39.99,464.0,5-12,Easy
Marvel Super Heroes,Beware the Vulture,"Team up with Spider-Man and Iron Man to catch up with The Shocker’s Van and tackle the Vulture’s attacks in this thrilling LEGO® Marvel Super Heroes Beware the Vulture set. The Shocker’s Van opens up for easy play and includes a mounted, adjustable 6-stud rapid shooter, a buildable rifle and buildable tech egg, while Vulture’s wings have 2 detachable stud shooters. Includes 4 minifigures with assorted weapons and accessory elements such as Spider-Man’s firing Power Blasts.
Build an epic chase scene featuring Spiderman and Iron Man vs. The Vulture and The Shocker!
Featured in the sensational Marvel Studios film Spiderman: Homecoming
Includes minifigures of Spiderman and Iron Man with a van that opens, 6-stud rapid shooter and boosters for Iron Man’s feet and hands
LEGO Marvel Super Hero building toys are compatible with all LEGO construction sets for creative building
Van measures 2 inches high, 5 inches long, and 2 inches wide. The Vulture’s wingspan measures 2 inches high, 7 inches long, and 1 inch wide
375 pieces – for boys and girls between the ages of 7 and 14 years old",39.99,375.0,7-14,Average
Marvel Super Heroes,The Hulkbuster Smash-Up,"Overpower Proxima Midnight and the Outrider with Bruce Banner’s Hulkbuster in this LEGO® Marvel Super Heroes 76104 The Hulkbuster Smash-Up set. The posable Hulkbuster features an opening minifigure cockpit and bashing arm function. This action-packed set also includes a ball-shooting gun turret with an opening rear compartment containing the Infinity Stone element, Falcon's buildable wings with a detachable Redwing drone element and 4 minifigures.
Includes 4 minifigures: Bruce Banner, Falcon, Proxima Midnight and an Outrider.
Hulkbuster features an opening minifigure cockpit, wheel-operated bashing arm function and posable fingers, arms and legs.
Gun turret features a minifigure seat, ball shooter and an opening rear compartment containing the Infinity Stone element.
Includes Proxima Midnight's spear and Falcon's buildable wings with a detachable Redwing drone element.
The new-for-March-2018 Outrider minifigure has 6 arms.
Play out thrilling scenes inspired by the Marvel Super Heroes Avengers: Infinity War movie.
Hulkbuster measures over 5” (14cm) high, 2” (7cm) long and 6” (16cm) wide.
Gun turret measures over 3” (8cm) high, 4” (11cm) wide and 1” (5cm) deep..",29.99,375.0,7-14,Easy
